0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/revolution/js/extensions/revolution.extension.parallax.min.js HTTP/1.1" 200 10925
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/revolution/js/extensions/revolution.extension.slideanims.min.js HTTP/1.1" 200 29395
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/images/MaharashtraSBTEHeader.jpg HTTP/1.1" 200 77283
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/revolution/js/extensions/revolution.extension.video.min.js HTTP/1.1" 200 24321
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/images/msbte%20logo.png HTTP/1.1" 200 9757
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:31 +0530] "GET /Epayment_MSBTE/studforgotPassword.jsp HTTP/1.1" 200 8734
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:32 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:37 +0530] "GET /Epayment_MSBTE/Home?action=Dashboard HTTP/1.1" 200 19406
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:37 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:46 +0530] "GET /Epayment_MSBTE/login?action=msbteLogin HTTP/1.1" 200 9803
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:46 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:53 +0530] "POST /Epayment_MSBTE/login?action=msbteLogin HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:53 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:01 +0530] "GET /Epayment_MSBTE/login?action=msbteLogin HTTP/1.1" 200 9803
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:01 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:04 +0530] "GET /Epayment_MSBTE/login?action=instituteLogin HTTP/1.1" 200 9827
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:04 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:10 +0530] "POST /Epayment_MSBTE/login?action=itLogin HTTP/1.1" 200 9858
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:10 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:12 +0530] "GET /Epayment_MSBTE/Home?action=Dashboard HTTP/1.1" 200 19406
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:12 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
